,title,deal_rating,mileage,price,stock_type,location
1322,2008 Toyota Avalon Touring,Great Deal,"107,493 mi.","$9,790",Used,"Harrisburg, PA"
1323,2019 Volkswagen Golf SportWagen 1.8T S,Good Deal,"90,295 mi.","$17,595",Used,"Houston, TX"
1324,2012 Nissan Juke SL,Great Deal,"62,876 mi.","$10,995",Used,"Des Moines, IA"
1325,2019 Toyota Highlander LE Plus,Good Deal,"112,053 mi.","$21,200
$300 price drop",Used,"Flint, MI"
1326,2008 BMW M5,Fair Deal,"110,969 mi.","$35,497
$500 price drop",Used,"Middleton, MA"
1327,2015 Audi A8 4.0T,Good Deal,"108,506 mi.","$16,995
$790 price drop",Used,"East Providence, RI"
1328,2007 Chevrolet Avalanche 1500 LTZ,Great Deal,"83,435 mi.","$13,475",Used,"Las Vegas, NV"
1329,2016 Volkswagen e-Golf SE,Good Deal,"50,177 mi.","$10,791",Used,"Sunnyvale, CA"
1330,2023 Toyota Venza XLE,Good Deal,"19,605 mi.","$36,988
$1,800 price drop",Used,"St Joseph, MO"
1331,2019 Mercedes-Benz GLS 550 Base 4MATIC,Good Deal,"37,004 mi.","$43,985",Used,"Sandy Springs, GA"
1332,2022 BMW M240 i xDrive,Great Deal,"4,250 mi.","$49,492",Used,"Sweetwater, TN"
1333,2018 Hyundai IONIQ Hybrid Limited,Good Deal,"91,090 mi.","$14,995
$504 price drop",Used,"Clinton Township, MI"
1334,2013 Land Rover Range Rover Evoque Pure Plus,Great Deal,"85,225 mi.","$14,807",Used,"Madill, OK"
1335,2019 Mercedes-Benz GLS 550 Base 4MATIC,Fair Deal,"79,655 mi.","$40,996",Used,"Riverdale, GA"
1336,2014 Mercedes-Benz Sprinter 2500 High Roof,Fair Deal,"48,366 mi.","$39,990",Used,"Fredricksburg, VA"
1337,2014 Jaguar XF I4 T,Good Deal,"95,207 mi.","$11,600
$100 price drop",Used,"Grand Ledge, MI"
1338,2014 Maserati Quattroporte S Q4,Good Deal,"81,322 mi.","$16,900",Used,"Naples, FL"
1339,2016 Porsche Boxster S,Fair Deal,"40,158 mi.","$46,900",Used,"Marietta, GA"
1340,2019 Honda Insight EX,Good Deal,"57,170 mi.","$16,594
$200 price drop",Used,"Sarasota, FL"
1341,2005 Chrysler PT Cruiser Touring,Good Deal,"112,000 mi.","$4,995",Used,"Indianapolis, IN"
1342,2014 Ford Expedition EL XLT,Great Deal,"131,751 mi.","$10,999",Used,"Ottumwa, IA"
1343,2017 FIAT 500 Pop,Good Deal,"56,717 mi.","$11,995",Used,"Temple, TX"
1344,2017 Mercedes-Benz GLS 550 Base 4MATIC,Great Deal,"110,011 mi.","$24,200",Used,"Marietta, GA"
1345,2016 Cadillac ATS-V COUPE FORGESTAR WHEELS LOWERED,Good Deal,"5,103 mi.","$47,800",Used,"West Chicago, IL"
1346,2020 Subaru Legacy Limited,Good Deal,"44,347 mi.","$22,990",Used,"Bend, OR"
1347,2023 INFINITI QX55 LUXE,Fair Deal,"15,289 mi.","$40,995",Used,"West Palm Beach, FL"
1348,2003 Dodge Ram 1500 ST,Good Deal,"129,080 mi.","$7,595",Used,"Hawthorne, CA"
1349,2012 Toyota Yaris L,Good Deal,"89,978 mi.","$10,995",Used,"Monroe, LA"
1350,2023 Lexus IS 350 F Sport,Good Deal,"3,385 mi.","$45,491",Used,"Bakersfield, CA"
1351,2021 Kia Seltos EX,Good Deal,"53,462 mi.","$23,975",Used,"Watertown, NY"
1352,2019 Acura TLX Technology & A-Spec,Good Deal,"91,889 mi.","$22,990",Used,"Tallahassee, FL"
1353,2002 BMW M3,Great Deal,"103,328 mi.","$14,995",Used,"Scottsdale, AZ"
1354,2016 Volkswagen Golf SportWagen TSI SE 4-Door,Great Deal,"35,308 mi.","$16,999",Used,"Webster, TX"
1355,2023 Volvo XC40 Recharge Pure Electric Twin Ultimate,Good Deal,"7,631 mi.","$36,311
$2,009 price drop",Volvo Certified,"St Petersburg, FL"
1356,2018 Hyundai Accent SEL,Good Deal,"54,331 mi.","$14,627",Used,"Geneva, NY"
1357,2015 Subaru WRX STI Limited,Good Deal,"97,000 mi.","$22,955",Used,"Lockport, NY"
1358,2013 Lexus GS 350 Base,Good Deal,"99,505 mi.","$17,430",Used,"Round Rock, TX"
1359,2015 Chevrolet Corvette Stingray,Good Deal,"24,376 mi.","$45,997
$1,000 price drop",Used,"Helena, MT"
1360,2023 Mercedes-Benz AMG GLA 45 Base,Great Deal,"6,348 mi.","$52,000",Used,"Ridgeland, MS"
1361,2017 McLaren 570S,Good Deal,"23,845 mi.","$134,995",Used,"Tustin, CA"
1362,2018 McLaren 570S Base,Good Deal,"33,148 mi.","$132,623",Used,"Texarkana, TX"
1363,2005 Mercedes-Benz CLK-Class CLK55 AMG,Good Deal,"96,906 mi.","$12,900",Used,"New York, NY"
